accepted_name,growth_form,plant_height,seed_mass,sla,taxonomic_status,accepted_family,R1A,R22,both,accepted_name_url,status,redlist_germany
Cytisus nigricans,shrub,1.1,0.004821833,158.1,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489855-1,I,3
Dactylis glomerata,NA,0.704666667,9.19E-04,247.66,Accepted,Poaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,I,*
Danthonia alpina,graminoid,0.225,NA,NA,Accepted,Poaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397443-1,I,1
Danthonia decumbens,NA,0.185,0.001383125,169.42,Accepted,Poaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397531-1,I,V
Daphne cneorum,shrub,0.25,0.0044,NA,Accepted,Thymelaeaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:831193-1,I,2
Daucus carota,NA,0.572666667,0.001002938,197.63,Accepted,Apiaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1,I,*
Deschampsia cespitosa,NA,0.515666667,0.005581708,202.045,Accepted,Poaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,I,*
Dianthus carthusianorum,forb,0.26,0.001399,163.55,Accepted,Caryophyllaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302053-2,I,V
Epilobium parviflorum,forb,0.6165,9.22E-05,297.75,Accepted,Onagraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:612163-1,I,*
Erica carnea,subshrub,NA,8.00E-05,NA,Accepted,Ericaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332092-2,I,V
Erigeron annuus,forb,0.694,5.20E-05,280.65,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203539-1,N,nb
Euphorbia cyparissias,forb,0.175,0.001868,225.7,Accepted,Euphorbiaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1,I,*
Euphorbia verrucosa,NA,0.4,NA,276.6,Accepted,Euphorbiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:348671-1,I,V
Euphrasia micrantha,forb,0.25,NA,NA,Synonym,Orobanchaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802686-1,I,2
Euphrasia officinalis,herb,0.221,1.89E-04,172.93,Accepted,Orobanchaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802732-1,I,3
Euphrasia officinalis subsp. pratensis,NA,NA,NA,NA,Synonym,Orobanchaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251948-1,NA,NA
Euphrasia picta,NA,NA,NA,NA,Synonym,Orobanchaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802764-1,I,1
Festuca rubra,NA,0.431,0.006072466,193.57,Accepted,Poaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30010036-2,I,*
Festuca rupicola,graminoid,0.325,5.35E-04,NA,Accepted,Poaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403454-1,I,V
Filipendula vulgaris,forb,0.325,8.11E-04,183.94,Accepted,Rosaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1,I,3
Fragaria viridis,herb,0.062,3.75E-04,170.5,Accepted,Rosaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2,I,*
Fraxinus excelsior,tree,28.6,0.064259159,136.51,Accepted,Oleaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609009-1,I,*
Galium boreale,NA,0.6135,6.54E-04,194.11,Accepted,Rubiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749626-1,I,V
Galium mollugo,NA,0.7,7.06E-04,268.76,Accepted,Rubiaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,I,*
Galium pumilum,NA,0.281,4.29E-04,386.7,Accepted,Rubiaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1,I,V
Galium pusillum,subshrub,NA,NA,NA,Accepted,Rubiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750507-1,I,V
Galium verrucosum,forb,0.103,0.015488,194.7,Accepted,Rubiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177145-1,N,nb
Galium verum,NA,0.383,0.015347225,207.87,Accepted,Rubiaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1,I,*
Genista tinctoria,shrub,0.7665,0.0044945,180.82,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496408-1,I,V
