accepted_name,growth_form,plant_height,seed_mass,sla,taxonomic_status,accepted_family,R1A,R22,both,accepted_name_url,status,redlist_germany
Scorzonera purpurea,herb,0.35,5.44E-04,NA,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:243361-1,I,2
Sedum acre,NA,0.0585,3.74E-05,109,Accepted,Crassulaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274996-1,I,*
Seseli annuum,herb,NA,NA,NA,Accepted,Apiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:848452-1,I,3
Sesleria caerulea,graminoid,0.09,0.001598,192,Synonym,Poaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1005554-2,I,*
Silene nutans,forb,0.3835,4.03E-04,221.87,Accepted,Caryophyllaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:157927-1,I,*
Silene vulgaris,NA,0.385,8.77E-04,198.7,Accepted,Caryophyllaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:158668-1,I,*
Tanacetum corymbosum,forb,0.675,4.78E-04,174.2,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252281-1,I,V
Taraxacum,NA,NA,NA,NA,Accepted,Asteraceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328762-2,I,*
Teucrium montanum,subshrub,0.2,7.25E-04,179.3,Accepted,Lamiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:460563-1,I,V
Thesium linophyllon,forb,0.2,0.0066,175.2,Accepted,Santalaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780950-1,I,3
Thesium pyrenaicum,NA,0.19,0.00424,421.97,Accepted,Santalaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781060-1,I,3
Thymus praecox,NA,0.07,1.49E-04,134.04,Accepted,Lamiaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:461536-1,NA,NA
Thymus pulegioides,NA,0.182,1.51E-04,246.75,Accepted,Lamiaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:461562-1,I,*
Trifolium campestre,NA,0.288,3.29E-04,270.83,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:522975-1,I,*
Trifolium dubium,NA,0.2375,3.97E-04,259.61,Accepted,Fabaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523099-1,I,*
Trifolium medium,forb,0.4,0.001945063,206.1,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523361-1,I,*
Trifolium montanum,NA,0.275,8.65E-04,197.48,Accepted,Fabaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523419-1,I,V
Trifolium pratense,NA,0.464333333,0.00147925,233.73,Accepted,Fabaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523575-1,I,*
Trifolium repens,NA,0.25,6.01E-04,314.43,Accepted,Fabaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523626-1,I,*
Trisetum flavescens,NA,0.45,3.64E-04,207.26,Accepted,Poaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:425194-1,I,*
Verbascum nigrum,forb,0.692,1.12E-04,187,Accepted,Scrophulariaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:770013-1,I,*
Veronica arvensis,NA,0.142666667,1.19E-04,257.45,Accepted,Plantaginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:811649-1,I,*
Veronica austriaca,forb,0.35,2.98E-04,230.515,Accepted,Plantaginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:811661-1,I,*
Veronica chamaedrys,NA,0.255,2.12E-04,316.18,Accepted,Plantaginaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:811804-1,I,*
Veronica spicata,forb,0.205,1.69E-04,117.2,Accepted,Plantaginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:812676-1,I,3
Vicia hirsuta,NA,0.341666667,0.005852708,220.57,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524810-1,I,*
Vicia sativa,NA,0.70625,0.028869073,226.335,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525117-1,I,*
Vincetoxicum hirundinaria,forb,0.75,0.00730725,536,Accepted,Apocynaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:102810-1,I,*
Viola arvensis,NA,0.186,4.46E-04,243.2,Accepted,Violaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291320-2,I,*
Viola hirta,herb,0.0875,0.003256167,182.33,Accepted,Violaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:868309-1,I,*
Viola rupestris,herb,0.063333333,NA,NA,Accepted,Violaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:869158-1,I,2
