"";"accepted_name";"taxonomic_status";"accepted_family";"R1A";"R22";"both"
"127";"Poa pratensis";"Accepted";"Poaceae";1;1;1
"128";"Polygala amara";"Accepted";"Polygalaceae";0;0;0
"129";"Polygala amarella";"Accepted";"Polygalaceae";0;0;0
"130";"Polygala vulgaris";"Accepted";"Polygalaceae";0;0;0
"131";"Polygaloides chamaebuxus";"Synonym";"Polygalaceae";0;0;0
"132";"Polygonatum odoratum";"Accepted";"Asparagaceae";0;0;0
"133";"Populus nigra";"Accepted";"Salicaceae";0;0;0
"134";"Populus tremula";"Accepted";"Salicaceae";0;0;0
"135";"Potentilla alba";"Accepted";"Rosaceae";0;0;0
"136";"Potentilla cinerea";"Accepted";"Rosaceae";0;0;0
"137";"Potentilla incana";"Accepted";"Rosaceae";0;0;0
"138";"Potentilla verna";"Accepted";"Rosaceae";0;0;0
"139";"Primula veris";"Accepted";"Primulaceae";1;0;0
"140";"Prunella grandiflora";"Accepted";"Lamiaceae";1;0;0
"141";"Prunus spinosa";"Accepted";"Rosaceae";0;0;0
"142";"Pulicaria vulgaris";"Accepted";"Asteraceae";0;0;0
"143";"Pulsatilla patens";"Accepted";"Ranunculaceae";0;0;0
"144";"Pulsatilla vulgaris";"Accepted";"Ranunculaceae";0;0;0
"145";"Ranunculus bulbosus";"Accepted";"Ranunculaceae";1;1;1
"146";"Rhamnus cathartica";"Accepted";"Rhamnaceae";0;0;0
"147";"Rhamnus saxatilis";"Accepted";"Rhamnaceae";0;0;0
"148";"Rhinanthus glacialis";"Accepted";"Orobanchaceae";0;0;0
"149";"Rhinanthus minor";"Accepted";"Orobanchaceae";0;1;0
"150";"Rubus";"Accepted";"Rosaceae";0;0;0
"151";"Rubus caesius";"Accepted";"Rosaceae";0;0;0
"152";"Rumex acetosa";"Accepted";"Polygonaceae";0;1;0
"153";"Salix eleagnos";"Accepted";"Salicaceae";0;0;0
"154";"Salvia pratensis";"Accepted";"Lamiaceae";1;0;0
"155";"Salvia verticillata";"Accepted";"Lamiaceae";0;0;0
"156";"Sanguisorba minor";"Accepted";"Rosaceae";1;0;0
"157";"Scabiosa canescens";"Accepted";"Caprifoliaceae";0;0;0
"158";"Scabiosa columbaria";"Accepted";"Caprifoliaceae";1;0;0
"159";"Scolochloa festucacea";"Illegitimate";"Poaceae";0;0;0
"160";"Scorzonera purpurea";"Accepted";"Asteraceae";0;0;0
"161";"Sedum acre";"Accepted";"Crassulaceae";0;0;0
"162";"Seseli annuum";"Accepted";"Apiaceae";0;0;0
"163";"Sesleria caerulea";"Synonym";"Poaceae";1;0;0
"164";"Silene nutans";"Accepted";"Caryophyllaceae";0;0;0
"165";"Silene vulgaris";"Accepted";"Caryophyllaceae";0;0;0
