ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
24,Carlina acaulis,1,89436,Carlina acaulis,1,species,,,NA,L.,Asteraceae,Carlina,Carlina,1,acaulis,acaulis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189213-1,,Y,Accepted,Carlina acaulis,Carlina acaulis,L.,89436,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189213-1,,Asteraceae,1,1,wcvp,0,
25,Carlina vulgaris aggr.,0.9,129397,Carlina vulgaris,1,species,,,NA,L.,Asteraceae,Carlina,Carlina,1,vulgaris,vulgaris,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189321-1,,Y,Accepted,Carlina vulgaris,Carlina vulgaris,L.,129397,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189321-1,,Asteraceae,1,1,wcvp,2,[Ambiguous]
26,Centaurea jacea,1,94542,Centaurea jacea,1,species,,,NA,L.,Asteraceae,Centaurea,Centaurea,1,jacea,jacea,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:190753-1,,Y,Accepted,Centaurea jacea,Centaurea jacea,L.,94542,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:190753-1,,Asteraceae,1,1,wcvp,0,
27,Centaurea scabiosa,1,14451,Centaurea scabiosa,1,species,,,NA,L.,Asteraceae,Centaurea,Centaurea,1,scabiosa,scabiosa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191521-1,,Y,Accepted,Centaurea scabiosa,Centaurea scabiosa,L.,14451,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191521-1,,Asteraceae,1,1,wcvp,0,
28,Cerastium fontanum subsp. vulgare,1,588656,Cerastium fontanum subsp. vulgare,1,subspecies,,,NA,(Hartm.) Greuter & Burdet,Caryophyllaceae,Cerastium,Cerastium,1,fontanum,fontanum,1,,,NA,subsp.,vulgare,1,,,NA,,,https://www.worldfloraonline.org/taxon/wfo-0000595577,,Y,Accepted,Cerastium fontanum subsp. vulgare,Cerastium fontanum,(Hartm.) Greuter & Burdet,588656,subspecies,https://www.worldfloraonline.org/taxon/wfo-0000595577,,Caryophyllaceae,1,1,wfo,0,
29,Cirsium acaulon,1,1518493,Cirsium acaulon,1,species,,,NA,,Asteraceae,Cirsium,Cirsium,1,acaulon,acaulon,1,,,NA,,,NA,,,NA,,,,,Y,No opinion,,,,,,,,,1,1,wfo,0,
30,Cirsium arvense,1,7418,Cirsium arvense,1,species,,,NA,(L.) Scop.,Asteraceae,Cirsium,Cirsium,1,arvense,arvense,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,,Y,Accepted,Cirsium arvense,Cirsium arvense,(L.) Scop.,7418,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,,Asteraceae,1,1,wcvp,0,
31,Crepis biennis,1,105123,Crepis biennis,1,species,,,NA,L.,Asteraceae,Crepis,Crepis,1,biennis,biennis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:199715-1,,Y,Accepted,Crepis biennis,Crepis biennis,L.,105123,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:199715-1,,Asteraceae,1,1,wcvp,0,
32,Cynosurus cristatus,1,853042,Cynosurus cristatus,1,species,,,NA,L.,Poaceae,Cynosurus,Cynosurus,1,cristatus,cristatus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397168-1,,Y,Accepted,Cynosurus cristatus,Cynosurus cristatus,L.,853042,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397168-1,,Poaceae,1,1,wcvp,0,
33,Dactylis glomerata,1,853224,Dactylis glomerata,1,species,,,NA,L.,Poaceae,Dactylis,Dactylis,1,glomerata,glomerata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,,Y,Accepted,Dactylis glomerata,Dactylis glomerata,L.,853224,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,,Poaceae,1,1,wcvp,0,
34,Daucus carota,1,631327,Daucus carota,1,species,,,NA,L.,Apiaceae,Daucus,Daucus,1,carota,carota,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1,,Y,Accepted,Daucus carota,Daucus carota,L.,631327,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1,,Apiaceae,1,1,wcvp,0,
35,Deschampsia cespitosa aggr.,0.9,854193,Deschampsia cespitosa,1,species,,,NA,(L.) P.Beauv.,Poaceae,Deschampsia,Deschampsia,1,cespitosa,cespitosa,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,,Y,Accepted,Deschampsia cespitosa,Deschampsia cespitosa,(L.) P.Beauv.,854193,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,,Poaceae,1,1,wcvp,0,
36,Dianthus carthusianorum aggr.,0.9,636082,Dianthus carthusianorum,1,species,,,NA,L.,Caryophyllaceae,Dianthus,Dianthus,1,carthusianorum,carthusianorum,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302053-2,,Y,Accepted,Dianthus carthusianorum,Dianthus carthusianorum,L.,636082,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302053-2,,Caryophyllaceae,1,1,wcvp,0,
37,Elytrigia repens aggr.,0.9,858775,Elytrigia repens,1,species,,,NA,(L.) Nevski,Poaceae,Elytrigia,Elytrigia,1,repens,repens,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400585-1,,Y,Synonym,Elymus repens,Elymus repens,(L.) Gould,858367,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90320-2,,Poaceae,1,1,wcvp,0,
38,Equisetum arvense,1,1094376,Equisetum arvense,1,species,,,NA,L.,Equisetaceae,Equisetum,Equisetum,1,arvense,arvense,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,,Y,Accepted,Equisetum arvense,Equisetum arvense,L.,1094376,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,,Equisetaceae,1,1,wcvp,0,
39,Eryngium campestre,1,670339,Eryngium campestre,1,species,,,NA,L.,Apiaceae,Eryngium,Eryngium,1,campestre,campestre,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841701-1,,Y,Accepted,Eryngium campestre,Eryngium campestre,L.,670339,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841701-1,,Apiaceae,1,1,wcvp,0,
40,Euphorbia cyparissias,1,953005,Euphorbia cyparissias,1,species,,,NA,L.,Euphorbiaceae,Euphorbia,Euphorbia,1,cyparissias,cyparissias,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1,,Y,Accepted,Euphorbia cyparissias,Euphorbia cyparissias,L.,953005,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1,,Euphorbiaceae,1,1,wcvp,0,
41,Festuca ovina,1,862942,Festuca ovina,1,species,,,NA,L.,Poaceae,Festuca,Festuca,1,ovina,ovina,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403212-1,,Y,Accepted,Festuca ovina,Festuca ovina,L.,862942,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403212-1,,Poaceae,1,1,wcvp,0,
42,Festuca rubra aggr.,0.9,863572,Festuca rubra,1,species,,,NA,L.,Poaceae,Festuca,Festuca,1,rubra,rubra,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30010036-2,,Y,Accepted,Festuca rubra,Festuca rubra,L.,863572,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30010036-2,,Poaceae,1,1,wcvp,0,
43,Festuca stricta subsp. sulcata,1,1600608,Festuca stricta subsp. sulcata,1,subspecies,,,NA,(Hack.) Patzke,Poaceae,Festuca,Festuca,1,stricta,stricta,1,,,NA,subsp.,sulcata,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77259412-1,,Y,Invalid,Festuca rupicola,Festuca rupicola,Heuff.,863722,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403454-1,,Poaceae,1,3,wcvp,4,[HigherTaxa]
44,Filipendula ulmaria,1,974738,Filipendula ulmaria,1,species,,,NA,(L.) Maxim.,Rosaceae,Filipendula,Filipendula,1,ulmaria,ulmaria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,,Y,Accepted,Filipendula ulmaria,Filipendula ulmaria,(L.) Maxim.,974738,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,,Rosaceae,1,1,wcvp,0,
45,Filipendula vulgaris,1,990719,Filipendula vulgaris,1,species,,,NA,Moench,Rosaceae,Filipendula,Filipendula,1,vulgaris,vulgaris,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1,,Y,Accepted,Filipendula vulgaris,Filipendula vulgaris,Moench,990719,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1,,Rosaceae,1,1,wcvp,0,
46,Fragaria viridis,1,998275,Fragaria viridis,1,species,,,NA,Weston,Rosaceae,Fragaria,Fragaria,1,viridis,viridis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2,,Y,Accepted,Fragaria viridis,Fragaria viridis,Weston,998275,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2,,Rosaceae,1,1,wcvp,0,
47,Galium mollugo aggr.,0.9,960873,Galium mollugo,1,species,,,NA,L.,Rubiaceae,Galium,Galium,1,mollugo,mollugo,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,,Y,Accepted,Galium mollugo,Galium mollugo,L.,960873,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,,Rubiaceae,1,1,wcvp,0,
48,Galium pumilum,1,961333,Galium pumilum,1,species,,,NA,Murray,Rubiaceae,Galium,Galium,1,pumilum,pumilum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1,,Y,Accepted,Galium pumilum,Galium pumilum,Murray,961333,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1,,Rubiaceae,1,1,wcvp,0,
49,Galium verum,1,961932,Galium verum,1,species,,,NA,L.,Rubiaceae,Galium,Galium,1,verum,verum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1,,Y,Accepted,Galium verum,Galium verum,L.,961932,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1,,Rubiaceae,1,1,wcvp,0,
50,Glechoma hederacea,1,964240,Glechoma hederacea,1,species,,,NA,L.,Lamiaceae,Glechoma,Glechoma,1,hederacea,hederacea,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:447338-1,,Y,Accepted,Glechoma hederacea,Glechoma hederacea,L.,964240,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:447338-1,,Lamiaceae,1,1,wcvp,0,
