ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
2109,Holcus mollis subsp. mollis,0.59957384396743,866236,Holcus mollis,0.59957384396743,species,,,NA,L.,Poaceae,Holcus,Holcus,1,mollis,mollis,1,,,NA,,,NA,,,NA,,subsp. mollis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2,,Y,Accepted,Holcus mollis,Holcus mollis,L.,866236,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2,,Poaceae,1,1,wcvp,1,[Partial]
2110,Holosteum umbellatum L.,1,716678,Holosteum umbellatum,1,species,L.,L.,1,L.,Caryophyllaceae,Holosteum,Holosteum,1,umbellatum,umbellatum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301475-2,,Y,Accepted,Holosteum umbellatum,Holosteum umbellatum,L.,716678,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301475-2,,Caryophyllaceae,1,1,wcvp,0,
2111,Holosteum umbellatum subsp. umbellatum,1,1274205,Holosteum umbellatum subsp. umbellatum,1,subspecies,,,NA,,Caryophyllaceae,Holosteum,Holosteum,1,umbellatum,umbellatum,1,,,NA,subsp.,umbellatum,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231541-1,,Y,Accepted,Holosteum umbellatum subsp. umbellatum,Holosteum umbellatum,,1274205,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231541-1,,Caryophyllaceae,1,1,wcvp,0,
2112,Homogyne alpina (L.) Cass.,1,68568,Homogyne alpina,1,species,(L.) Cass.,(L.) Cass.,1,(L.) Cass.,Asteraceae,Homogyne,Homogyne,1,alpina,alpina,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225016-1,,Y,Accepted,Homogyne alpina,Homogyne alpina,(L.) Cass.,68568,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225016-1,,Asteraceae,1,1,wcvp,0,
2113,Homogyne discolor (Jacq.) Cass.,0.91636,12992,Homogyne discolor,1,species,(Jacq.) Cass.,Cass.,0.5818,Cass.,Asteraceae,Homogyne,Homogyne,1,discolor,discolor,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225018-1,,Y,Accepted,Homogyne discolor,Homogyne discolor,Cass.,12992,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225018-1,,Asteraceae,1,1,wcvp,0,
2114,Honckenya peploides (L.) Ehrh.,1,716766,Honckenya peploides,1,species,(L.) Ehrh.,(L.) Ehrh.,1,(L.) Ehrh.,Caryophyllaceae,Honckenya,Honckenya,1,peploides,peploides,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154821-1,,Y,Accepted,Honckenya peploides,Honckenya peploides,(L.) Ehrh.,716766,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154821-1,,Caryophyllaceae,1,1,wcvp,0,
2115,Honckenya peploides subsp. peploides,1,1274320,Honckenya peploides subsp. peploides,1,subspecies,,,NA,,Caryophyllaceae,Honckenya,Honckenya,1,peploides,peploides,1,,,NA,subsp.,peploides,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231306-1,,Y,Accepted,Honckenya peploides subsp. peploides,Honckenya peploides,,1274320,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231306-1,,Caryophyllaceae,1,1,wcvp,0,
2116,Hordelymus europaeus (L.) Harz,0.94124,866358,Hordelymus europaeus,1,species,(L.) Harz,(L.) Jess. ex Harz,0.7062,(L.) Jess. ex Harz,Poaceae,Hordelymus,Hordelymus,1,europaeus,europaeus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405133-1,,Y,Accepted,Hordelymus europaeus,Hordelymus europaeus,(L.) Jess. ex Harz,866358,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405133-1,,Poaceae,1,1,wcvp,0,
2117,Hordeum jubatum L.,1,866548,Hordeum jubatum,1,species,L.,L.,1,L.,Poaceae,Hordeum,Hordeum,1,jubatum,jubatum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405267-1,,Y,Accepted,Hordeum jubatum,Hordeum jubatum,L.,866548,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405267-1,,Poaceae,1,1,wcvp,0,
2118,Hordeum jubatum subsp. jubatum,1,1082309,Hordeum jubatum subsp. jubatum,1,subspecies,,,NA,,Poaceae,Hordeum,Hordeum,1,jubatum,jubatum,1,,,NA,subsp.,jubatum,1,,,NA,,,https://www.worldfloraonline.org/taxon/wfo-0001096484,,Y,Synonym,Hordeum jubatum,Hordeum jubatum,L.,866548,species,https://www.worldfloraonline.org/taxon/wfo-0000874831,,Poaceae,1,1,wfo,0,
2119,Hordeum marinum Huds.,1,866589,Hordeum marinum,1,species,Huds.,Huds.,1,Huds.,Poaceae,Hordeum,Hordeum,1,marinum,marinum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30066468-2,,Y,Accepted,Hordeum marinum,Hordeum marinum,Huds.,866589,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30066468-2,,Poaceae,1,1,wcvp,0,
